,item_id,activation_date,date_from,date_to
1000055,1762fbaec867,2/15/17,3/15/17,3/17/17
1000056,c6ca840a9fda,3/17/17,3/17/17,3/28/17
1000057,bfbf85105baa,3/13/17,3/15/17,3/28/17
1000058,44745d02d8eb,2/20/17,3/15/17,3/22/17
1000059,c39a56292699,2/26/17,3/15/17,3/28/17
1000060,b7091d7674ef,3/10/17,3/15/17,3/28/17
1000061,4e697dd906ee,3/26/17,3/26/17,3/28/17
1000062,f012d8ecba0e,2/23/17,3/15/17,3/20/17
1000063,b78e72d7eadc,3/12/17,3/15/17,3/28/17
1000064,be5003d23d91,3/1/17,3/15/17,3/28/17
1000065,6cdfa78bf59e,2/27/17,3/15/17,3/28/17
1000066,2f3882ac6821,3/28/17,3/28/17,3/28/17
1000067,add31fa463ff,3/23/17,3/23/17,3/28/17
1000068,4f078737e8ec,3/9/17,3/15/17,3/28/17
1000069,9301970354cf,3/6/17,3/15/17,3/28/17
1000070,1629d2b026a8,2/23/17,3/15/17,3/24/17
1000071,f2a828dfcc3c,3/3/17,3/15/17,3/28/17
1000072,d2b96e5096d4,3/26/17,3/26/17,3/28/17
1000073,a223ceec8bdd,3/14/17,3/15/17,3/28/17
1000074,74bc366fd0b8,2/14/17,3/15/17,3/16/17
1000075,65e310304872,2/25/17,3/15/17,3/27/17
1000076,441818805f86,2/22/17,3/15/17,3/24/17
1000077,09655ed9ffb2,3/12/17,3/15/17,3/28/17
1000078,8177f2cb5d95,3/15/17,3/15/17,3/28/17
1000079,7735b58488fe,3/18/17,3/18/17,3/28/17
1000080,f7be38762ffb,2/22/17,3/15/17,3/24/17
1000081,2492428318df,3/22/17,3/22/17,3/28/17
1000082,c45babdedc70,2/14/17,3/15/17,3/16/17
1000083,1be17d430f80,2/20/17,3/15/17,3/22/17
1000084,37c57bf3b761,3/1/17,3/15/17,3/28/17
1000085,8a467bdd9966,2/28/17,3/15/17,3/28/17
1000086,58197a48df1b,2/26/17,3/15/17,3/28/17
1000087,82c9d2f35ba8,3/5/17,3/15/17,3/28/17
1000088,7ba30de2a867,3/15/17,3/15/17,3/17/17
1000089,23bea157585c,2/27/17,3/15/17,3/28/17
1000090,87077294685f,2/21/17,3/15/17,3/23/17
1000091,1e3163da83da,3/6/17,3/15/17,3/28/17
1000092,51ac86b0bcf1,3/10/17,3/15/17,3/28/17
1000093,eca4f06fd949,3/24/17,3/24/17,3/28/17
1000094,3dacfabd8c6d,3/11/17,3/15/17,3/28/17
1000095,8774c782bef0,3/4/17,3/15/17,3/28/17
1000096,42a86a0f8a25,3/16/17,3/16/17,3/25/17
1000097,96d9bef59b79,3/22/17,3/22/17,3/28/17
1000098,7ebaa0c2947c,3/6/17,3/15/17,3/28/17
1000099,4910ce95f7f7,3/20/17,3/20/17,3/28/17
1000100,65782f9aefb1,3/8/17,3/15/17,3/28/17
1000101,03a0437ffbe0,2/26/17,3/15/17,3/27/17
1000102,980bcc9d7b61,3/6/17,3/15/17,3/28/17
1000103,3601fba15e37,3/16/17,3/16/17,3/28/17
1000104,0e350dc65de7,3/23/17,3/23/17,3/28/17
1000105,6c4a4c78fee8,2/19/17,3/15/17,3/20/17
1000106,e781ef7b9c37,3/3/17,3/15/17,3/28/17
1000107,9ecdfa710b04,2/14/17,3/15/17,3/16/17
1000108,247f854c0df0,3/22/17,3/22/17,3/28/17
1000109,d07818c7949d,3/7/17,3/15/17,3/28/17
1000110,d7b070a46198,2/27/17,3/15/17,3/28/17
1000111,ce92c60ddde4,2/24/17,3/15/17,3/25/17
1000112,8522a6b5a523,3/13/17,3/15/17,3/28/17
1000113,742e7ee0df4b,3/1/17,3/15/17,3/28/17
1000114,6d5a5dd87b88,3/19/17,3/19/17,3/28/17
1000115,f8f901c6e3de,2/22/17,3/15/17,3/24/17
1000116,a74901b41c26,2/28/17,3/15/17,3/28/17
1000117,bebcd39c6ddb,2/19/17,3/15/17,3/20/17
1000118,6715b3bbcc1e,3/20/17,3/20/17,3/28/17
1000119,0c6e989bfc0e,2/21/17,3/15/17,3/23/17
1000120,2f41ce82db37,2/25/17,3/15/17,3/27/17
1000121,4c98670b2748,3/22/17,3/22/17,3/28/17
1000122,74aa0e0fae1b,3/27/17,3/27/17,3/28/17
1000123,b824f0b2eebc,3/1/17,3/15/17,3/28/17
1000124,d6a1b82458a5,2/21/17,3/15/17,3/23/17
1000125,e848156b3b3b,3/17/17,3/17/17,3/28/17
1000126,a95ed6beef08,3/27/17,3/27/17,3/28/17
1000127,63fd7cc482d1,2/13/17,3/15/17,3/15/17
1000128,26cc27d7a6e1,3/8/17,3/15/17,3/16/17
1000129,042ef5ae85ad,3/28/17,3/28/17,3/28/17
1000130,63bf17fd3f83,2/20/17,3/15/17,3/22/17
1000131,cb5abf362078,3/12/17,3/15/17,3/28/17
1000132,4ed631319260,2/21/17,3/15/17,3/23/17
1000133,7f4face43d29,2/28/17,3/15/17,3/28/17
1000134,c8aa19218d06,2/27/17,3/15/17,3/19/17
1000135,38f5473796d9,2/17/17,3/15/17,3/19/17
1000136,1bbae4efc8ea,3/12/17,3/15/17,3/28/17
1000137,2c37f7e5e596,3/4/17,3/15/17,3/28/17
1000138,f184f0725732,2/27/17,3/15/17,3/28/17
1000139,99e541aceb7d,3/21/17,3/21/17,3/28/17
1000140,d83588320710,2/18/17,3/15/17,3/20/17
1000141,9dce58d14404,3/28/17,3/28/17,3/28/17
1000142,d4a0769ddeca,3/1/17,3/15/17,3/19/17
1000143,5733dfa77a77,3/13/17,3/15/17,3/28/17
1000144,0aa95717d938,2/24/17,3/15/17,3/26/17
1000145,6bda4dff4e96,3/14/17,3/15/17,3/28/17
1000146,be3f85848cea,2/14/17,3/15/17,3/16/17
1000147,9a05f5ad3523,3/11/17,3/15/17,3/28/17
1000148,5636cc7a1b99,3/1/17,3/15/17,3/28/17
1000149,ca8a5f109371,3/6/17,3/15/17,3/28/17
1000150,fc931452bb01,3/7/17,3/15/17,3/28/17
1000151,370d0526e932,2/22/17,3/15/17,3/24/17
1000152,5a606d7e710d,2/26/17,3/15/17,3/27/17
1.00E+06,99193e659753,3/5/17,3/15/17,3/28/17
1000154,1d7f729b5e67,3/7/17,3/15/17,3/28/17
1000155,9c07c3a127d2,3/1/17,3/15/17,3/28/17
1000156,340dc5ee58de,3/12/17,3/15/17,3/28/17
1000157,643b66b052b5,2/18/17,3/15/17,3/20/17
1000158,d4ddd43a484f,2/19/17,3/15/17,3/20/17
1000159,99350103f8de,3/11/17,3/15/17,3/18/17
1000160,2fadad2703f8,3/27/17,3/27/17,3/28/17
1000161,3ac910e8976b,3/16/17,3/16/17,3/28/17
1000162,a44c50eeeaf8,3/16/17,3/16/17,3/28/17
1000163,b5b0107e72f5,3/6/17,3/15/17,3/16/17
1.00E+06,047e907dec14,3/5/17,3/15/17,3/28/17
1000165,24ea996635e6,2/21/17,3/15/17,3/23/17
1000166,94a3e10d80ef,2/17/17,3/15/17,3/18/17
1000167,2423aee11bba,3/19/17,3/19/17,3/28/17
1000168,91ce12e1eaf5,3/9/17,3/15/17,3/28/17
1000169,9e1adb9f74b7,2/21/17,3/15/17,3/23/17
1000170,70c3b3d42d54,3/22/17,3/22/17,3/28/17
1000171,ac0d779f32ab,3/9/17,3/15/17,3/28/17
1000172,1c4e44b467a7,3/11/17,3/15/17,3/28/17
1000173,018f14c72f6a,3/13/17,3/15/17,3/28/17
1000174,7a56775d3a80,3/12/17,3/15/17,3/28/17
1000175,03b7558baf60,2/20/17,3/15/17,3/22/17
1000176,1b7425d7a04c,2/26/17,3/15/17,3/28/17
1000177,e656cc766bc2,3/25/17,3/25/17,3/28/17
1000178,e86557315fae,3/2/17,3/15/17,3/28/17
1000179,3eb65e30a280,2/27/17,3/15/17,3/28/17
1000180,b0fd2db138a9,3/12/17,3/15/17,3/28/17
1000181,e68b9693e545,3/1/17,3/15/17,3/28/17
1000182,0df7369cd3d9,2/14/17,3/15/17,3/15/17
1000183,b73e0e90f32f,3/26/17,3/26/17,3/28/17
1000184,b6c57dd5575b,3/5/17,3/15/17,3/28/17
1000185,4edb383777c9,3/17/17,3/17/17,3/28/17
1000186,23b53d5e65fe,3/10/17,3/15/17,3/28/17
1000187,8d6900f0a537,2/23/17,3/15/17,3/25/17
1000188,0ed58e640eb1,3/13/17,3/15/17,3/16/17
1000189,2830db2628cb,2/20/17,3/15/17,3/22/17
1000190,b6323fd755dd,3/8/17,3/15/17,3/28/17
1000191,0607f04c896d,2/27/17,3/15/17,3/28/17
1000192,f1cb7a02724f,3/20/17,3/20/17,3/28/17
1000193,d5df5812110f,3/25/17,3/25/17,3/28/17
1000194,0209f5e347d4,3/6/17,3/15/17,3/28/17
1000195,6e1e27b7b316,2/20/17,3/15/17,3/22/17
1000196,298d41aeeb32,2/16/17,3/15/17,3/17/17
1000197,3d1929937986,2/24/17,3/15/17,3/25/17
1000198,eff73c0056ea,3/19/17,3/19/17,3/28/17
1000199,522eeae75ab9,3/21/17,3/21/17,3/28/17
1000200,2c777dbf019d,2/26/17,3/15/17,3/27/17
1000201,6c814a40fca7,3/17/17,3/17/17,3/28/17
1000202,d27f0d517034,2/17/17,3/15/17,3/18/17
1000203,9c67abdb5c13,3/13/17,3/15/17,3/28/17
1000204,8bac94ab710b,2/28/17,3/15/17,3/28/17
1000205,89186ff7876e,2/21/17,3/15/17,3/22/17
1000206,f21cc097bb29,3/13/17,3/15/17,3/24/17
1000207,40b7a465a527,3/27/17,3/27/17,3/28/17
1000208,b8ab1062299a,3/18/17,3/18/17,3/28/17
1000209,36463ae878b8,2/24/17,3/15/17,3/25/17
1000210,e186d3e3dc4d,2/13/17,3/15/17,3/15/17
1000211,59759635a22d,3/5/17,3/15/17,3/28/17
1000212,de2d90692923,3/7/17,3/15/17,3/28/17
1000213,80aee690a6cf,2/24/17,3/15/17,3/25/17
1000214,f66a1977e583,2/20/17,3/15/17,3/23/17
1000215,7117bbace2a4,3/12/17,3/15/17,3/15/17
1000216,67d42cbefcdf,3/3/17,3/15/17,3/21/17
1000217,e7ed3557729a,3/8/17,3/15/17,3/28/17
1000218,e093091d820f,2/16/17,3/15/17,3/18/17
1.00E+06,728e00941761,3/14/17,3/15/17,3/28/17
1000220,234c3486a8ff,3/11/17,3/15/17,3/28/17
1000221,ca12855ce35a,3/27/17,3/27/17,3/28/17
1000222,771de64a74f8,3/23/17,3/23/17,3/28/17
1000223,1df1aa831fc9,2/28/17,3/15/17,3/28/17
1000224,d7817c3ee85d,3/6/17,3/15/17,3/28/17
1000225,276f49207567,2/25/17,3/15/17,3/26/17
1000226,f4ab18e79d34,3/8/17,3/15/17,3/28/17
1000227,9d58f163a305,2/27/17,3/15/17,3/28/17
1000228,a2bce754aa80,3/16/17,3/16/17,3/28/17
1000229,8f2027210ecd,2/14/17,3/15/17,3/15/17
1000230,78abe5ee1ebb,2/24/17,3/15/17,3/26/17
1000231,22689d18b9a4,3/13/17,3/15/17,3/28/17
1000232,9598586edd9e,2/27/17,3/15/17,3/28/17
1000233,d3e2f8f61eb4,2/24/17,3/15/17,3/26/17
1000234,6a03847cb18e,2/20/17,3/15/17,3/22/17
1000235,21c5de3de03a,3/13/17,3/15/17,3/18/17
1000236,9504a587e901,3/3/17,3/15/17,3/28/17
1000237,31c6a9aebe2c,2/26/17,3/15/17,3/27/17
1000238,d4dd7a8cd3c6,3/4/17,3/15/17,3/28/17
1000239,45da1993c764,2/17/17,3/15/17,3/19/17
1000240,d5b837f0145b,2/18/17,3/15/17,3/19/17
1000241,93da0cffedd9,2/25/17,3/15/17,3/27/17
1000242,92a0ebe71678,2/14/17,3/15/17,3/16/17
1000243,9400b7658c87,2/17/17,3/15/17,3/18/17
1000244,95366ef01689,3/23/17,3/23/17,3/28/17
1000245,2878788945a0,3/2/17,3/15/17,3/22/17
1000246,67d4b9d776fd,3/10/17,3/15/17,3/28/17
1000247,e92efd090f92,3/16/17,3/16/17,3/28/17
1000248,332c31b3d734,3/21/17,3/21/17,3/28/17
1000249,3211b345aedd,3/23/17,3/24/17,3/25/17
1000250,3401d37d685a,3/20/17,3/20/17,3/27/17
1000251,37b6855ccb53,2/22/17,3/15/17,3/24/17
1000252,10fea168b6d0,2/17/17,3/15/17,3/19/17
1000253,ad3215d9d367,3/21/17,3/21/17,3/28/17
1000254,03206822d62b,2/19/17,3/15/17,3/20/17
1000255,065d0f1753c8,2/26/17,3/15/17,3/28/17
1000256,66f05346bfa9,3/4/17,3/15/17,3/28/17
1000257,6206a3064b5c,3/16/17,3/16/17,3/28/17
1000258,253fc12164b1,3/10/17,3/15/17,3/28/17
1000259,bdb9be45cd9d,3/19/17,3/19/17,3/28/17
1000260,7f6505525b68,3/12/17,3/15/17,3/28/17
1000261,7dfd3ab44527,2/16/17,3/15/17,3/18/17
1000262,e98a415240d6,3/14/17,3/15/17,3/18/17
1000263,abf5e4977763,3/22/17,3/22/17,3/28/17
1000264,55da0d16f413,3/26/17,3/26/17,3/28/17
1000265,ef2eeeb5d879,3/18/17,3/18/17,3/28/17
1000266,f3126fcebae5,3/12/17,3/15/17,3/28/17
1000267,75ab75f8bc36,3/13/17,3/15/17,3/28/17
1000268,ce31e00ea1c0,2/15/17,3/15/17,3/16/17
1000269,1f2be0fbc4bd,2/18/17,3/15/17,3/20/17
1000270,00ae2dd7d1c8,3/21/17,3/21/17,3/28/17
1000271,0cb4cb5dabcd,2/25/17,3/15/17,3/27/17
1000272,2cee0656e026,2/19/17,3/15/17,3/21/17
1000273,a9bf36ab45d6,3/12/17,3/15/17,3/28/17
1000274,e3a9c5903b63,3/20/17,3/20/17,3/28/17
1000275,b9d654cc6a1e,2/18/17,3/15/17,3/19/17
1000276,ad9c9d5593e1,2/28/17,3/15/17,3/28/17
1000277,1d9553fe9874,3/26/17,3/26/17,3/28/17
1000278,218404e11aa6,3/4/17,3/15/17,3/28/17
1000279,2c81adcd9483,3/14/17,3/15/17,3/28/17
1000280,f8017a2f47d1,2/21/17,3/15/17,3/23/17
1000281,232ee8a1a050,3/14/17,3/15/17,3/28/17
1000282,cc47b1e0ac1f,3/15/17,3/15/17,3/28/17
1000283,a20544ee11e0,3/3/17,3/15/17,3/28/17
1000284,7d83b2ec7ce7,2/24/17,3/15/17,3/26/17
1000285,f171b62af211,3/22/17,3/22/17,3/28/17
1000286,1640fd16fdd5,3/22/17,3/23/17,3/28/17
1000287,024c0b785496,2/27/17,3/15/17,3/28/17
1000288,6ccfdda917f8,3/11/17,3/15/17,3/28/17
1000289,a420c5a4ca57,3/1/17,3/15/17,3/28/17
1000290,454d770dd93c,2/22/17,3/15/17,3/23/17
1000291,2ab1a4a3897c,3/6/17,3/15/17,3/28/17
1000292,86b86e60efe3,2/13/17,3/15/17,3/15/17
1000293,42a24ccdef4c,2/20/17,3/15/17,3/22/17
1000294,ba0835bb3827,3/14/17,3/15/17,3/23/17
1000295,48f17ae2b045,2/25/17,3/15/17,3/27/17
1000296,630b458a5fe5,2/19/17,3/15/17,3/21/17
1000297,2f78d16c3ff0,3/10/17,3/15/17,3/28/17
1000298,6fe8e039c2e7,2/17/17,3/15/17,3/19/17
1000299,8cc559104350,3/6/17,3/15/17,3/28/17
1000300,0a2c1e6abae8,3/7/17,3/15/17,3/28/17
1000301,a2c77a7b3e19,2/28/17,3/15/17,3/28/17
1000302,d162c675e77a,2/22/17,3/15/17,3/24/17
1000303,a76caa6fc5bf,3/5/17,3/15/17,3/28/17
1000304,92b0268adbb9,3/9/17,3/15/17,3/28/17
1000305,6d02b6b7bd1d,2/20/17,3/15/17,3/22/17
1000306,6f4bdac30bac,3/9/17,3/15/17,3/28/17
1000307,f65b432ea4ed,3/26/17,3/26/17,3/28/17
1000308,a3940c8eee23,3/22/17,3/22/17,3/23/17
1000309,a1c82eb7ac30,3/3/17,3/15/17,3/28/17
1000310,8134a0e46f7e,2/18/17,3/15/17,3/20/17
1000311,4c69a1bdb4d5,3/21/17,3/21/17,3/28/17
1000312,e459a0ed4d25,3/1/17,3/15/17,3/28/17
1000313,82cede89c2cc,2/17/17,3/15/17,3/19/17
1000314,da34eb281c76,3/20/17,3/20/17,3/28/17
1000315,90164c574d36,3/28/17,3/28/17,3/28/17
1000316,176bef775bab,3/13/17,3/15/17,3/28/17
1000317,3eb0c8fac1d4,3/1/17,3/15/17,3/28/17
1000318,16c952f7d06e,2/27/17,3/15/17,3/28/17
1000319,adc343c6c284,3/13/17,3/15/17,3/28/17
1000320,bd4c5514a2c4,3/7/17,3/15/17,3/28/17
1000321,afc4888b1b47,3/12/17,3/15/17,3/28/17
1000322,4a98b67ec71e,3/2/17,3/15/17,3/28/17
1000323,818931db36d9,3/23/17,3/23/17,3/28/17
1000324,169627da02a6,2/14/17,3/15/17,3/16/17
1000325,d82c821d0bb5,3/9/17,3/15/17,3/28/17
1000326,635f33f75146,3/8/17,3/15/17,3/28/17
1000327,e173dadde5fd,2/26/17,3/15/17,3/28/17
1000328,b3c74fcbd96a,3/19/17,3/19/17,3/28/17
1000329,6c04dece623c,2/15/17,3/15/17,3/17/17
1000330,ed1d451a96e7,2/23/17,3/15/17,3/16/17
1000331,571decb6ba43,3/21/17,3/21/17,3/28/17
1000332,b676bcc90974,3/16/17,3/16/17,3/28/17
1000333,8c139e805bb2,3/1/17,3/15/17,3/19/17
1000334,46dd6e7eb641,2/25/17,3/15/17,3/27/17
1000335,8530f8b1c5e7,3/6/17,3/15/17,3/28/17
1000336,9ceaa5d20cad,2/26/17,3/15/17,3/28/17
1000337,384993e4f522,2/28/17,3/15/17,3/25/17
1000338,79af9da6c165,2/21/17,3/15/17,3/22/17
1000339,e6dbc947304e,3/2/17,3/15/17,3/28/17
1000340,490f436ab17e,3/12/17,3/15/17,3/28/17
1000341,e5a0ff70ad85,3/22/17,3/22/17,3/28/17
1000342,2a70094b8525,3/5/17,3/15/17,3/28/17
1000343,c1258fef3892,3/5/17,3/15/17,3/28/17
1000344,1f019f7bfb4e,3/1/17,3/15/17,3/28/17
1000345,cf9ac4dd0a46,2/27/17,3/15/17,3/28/17
1000346,b2ba61d9b081,2/19/17,3/15/17,3/21/17
1000347,e7a53c6d92ff,3/25/17,3/25/17,3/28/17
1000348,bf35a93aa014,3/7/17,3/15/17,3/28/17
1000349,1f9f19c97a7c,2/16/17,3/15/17,3/17/17
1000350,2d5115f32d1c,3/4/17,3/15/17,3/28/17
1000351,353b34eb2bc7,2/28/17,3/15/17,3/28/17
1000352,b56d832eacf6,2/27/17,3/15/17,3/28/17
1000353,f5542c405557,3/22/17,3/22/17,3/28/17
1000354,b0891e17b06e,3/21/17,3/21/17,3/28/17
1000355,6cc809e2dbda,3/20/17,3/20/17,3/28/17
1000356,13d8dca741cb,2/28/17,3/15/17,3/28/17
1000357,8a69e514f1ff,2/24/17,3/15/17,3/16/17
1000358,543adc5fbe70,3/9/17,3/15/17,3/28/17
1000359,60f1e0b332e8,2/14/17,3/15/17,3/15/17
1000360,cab25dcaabb9,2/20/17,3/15/17,3/21/17
1000361,afe2f926d55c,3/3/17,3/15/17,3/28/17
1000362,093509ae3eb0,2/23/17,3/15/17,3/25/17
1000363,8c1089d8feaf,3/12/17,3/15/17,3/28/17
1000364,464f246c9691,3/12/17,3/15/17,3/28/17
1000365,de5290f39709,2/26/17,3/15/17,3/28/17
1000366,c14b646f4a5f,3/16/17,3/16/17,3/28/17
1000367,435d6356ead1,3/27/17,3/27/17,3/28/17
1000368,429f65f6f8d3,2/21/17,3/15/17,3/22/17
1000369,c8b4858b1136,3/20/17,3/20/17,3/28/17
1000370,0b7de1a06fa3,3/14/17,3/15/17,3/27/17
1000371,3179a89d29e7,2/21/17,3/15/17,3/23/17
1000372,10e2b1a1405d,2/15/17,3/15/17,3/17/17
1000373,07c4a493c118,2/25/17,3/15/17,3/27/17
1000374,28f95c4ac701,3/10/17,3/15/17,3/28/17
1000375,1c4808cb5a98,3/7/17,3/15/17,3/28/17
1000376,57cec3e1106e,3/12/17,3/15/17,3/28/17
1000377,e32a5725a9e8,2/26/17,3/15/17,3/28/17
1000378,24a5a0745f81,2/19/17,3/15/17,3/20/17
1000379,1b130d5ec4da,2/28/17,3/15/17,3/28/17
1000380,fcdb8bbecb90,3/13/17,3/15/17,3/26/17
1000381,989ea0293298,3/14/17,3/15/17,3/28/17
1000382,ef414ed2717d,2/20/17,3/15/17,3/22/17
1000383,e43d8f06250c,3/23/17,3/23/17,3/28/17
1000384,be70d24b8930,3/22/17,3/22/17,3/28/17
1000385,cdd02d7f22cd,3/9/17,3/15/17,3/28/17
1000386,2407f9729603,2/27/17,3/15/17,3/28/17
1000387,b1ed3dcb4a86,2/22/17,3/15/17,3/24/17
1000388,b2911d28af46,3/4/17,3/15/17,3/28/17
1000389,07f0d6fa0a42,3/22/17,3/22/17,3/28/17
1000390,9.36E+11,3/6/17,3/15/17,3/28/17
1000391,50b5e6446a77,2/27/17,3/15/17,3/28/17
1000392,c46bcdaf9f27,3/13/17,3/15/17,3/28/17
1000393,57b1d5732f6a,2/26/17,3/15/17,3/28/17
1000394,3f0cf50cf872,3/18/17,3/18/17,3/28/17
1000395,42cf515e62d0,2/28/17,3/15/17,3/28/17
1000396,70a8f8525f82,3/19/17,3/19/17,3/28/17
1000397,d1c5cf2590a4,2/19/17,3/15/17,3/20/17
1000398,c45d54ebd0c3,3/17/17,3/17/17,3/28/17
1000399,cfaac9aca5b1,3/7/17,3/15/17,3/28/17
1000400,ae7771505549,3/9/17,3/15/17,3/28/17
1000401,bdfe1a00f7bc,3/15/17,3/15/17,3/28/17
1000402,096eb3e101e5,3/21/17,3/21/17,3/28/17
1000403,120520d6c62f,2/16/17,3/15/17,3/18/17
1000404,a785350c4033,3/11/17,3/15/17,3/28/17
1000405,3423bcbff77c,3/13/17,3/15/17,3/28/17
1000406,df71dfdc9fc6,2/13/17,3/15/17,3/16/17
1000407,3704c369f467,2/28/17,3/15/17,3/28/17
1000408,5cd73d562f14,3/3/17,3/15/17,3/28/17
1000409,5afd14674791,3/9/17,3/15/17,3/21/17
1000410,e5de96ee8b04,2/27/17,3/15/17,3/28/17
1000411,b84358b496f4,3/18/17,3/18/17,3/28/17
1000412,ecf2ee4a5420,3/13/17,3/15/17,3/28/17
1000413,6b6025a11b7c,3/3/17,3/15/17,3/28/17
1000414,e0bdf3ad4695,3/20/17,3/20/17,3/28/17
1000415,f1449188a4f3,3/15/17,3/15/17,3/28/17
1000416,e7066ced41e4,3/6/17,3/15/17,3/28/17
1000417,0cb367b1872e,3/1/17,3/15/17,3/27/17
1000418,1171d000e1dd,2/19/17,3/15/17,3/21/17
1000419,9a2884015590,2/24/17,3/15/17,3/25/17
1000420,9a645a45833d,3/5/17,3/15/17,3/28/17
1000421,8d7b6bd52e6e,3/1/17,3/15/17,3/28/17
1000422,ce5fd902059d,3/16/17,3/16/17,3/21/17
1000423,350d115e7811,3/19/17,3/19/17,3/28/17
1000424,3431ce871d0d,3/3/17,3/15/17,3/28/17
1000425,6a4dcc4f4dc3,2/26/17,3/15/17,3/27/17
1000426,7ab24e318ff3,3/3/17,3/15/17,3/28/17
1000427,962893c979ee,3/15/17,3/15/17,3/28/17
1000428,ddc5d65b6be9,3/12/17,3/15/17,3/28/17
1000429,994ce234dee4,3/8/17,3/15/17,3/28/17
1000430,7cd0cdad09eb,3/14/17,3/15/17,3/28/17
1000431,cde1a94bfe4c,3/2/17,3/15/17,3/28/17
1000432,8d1ab82f5477,3/14/17,3/15/17,3/28/17
1000433,ba508a9dbbe1,2/14/17,3/15/17,3/15/17
1000434,ea4c966723f0,3/3/17,3/15/17,3/28/17
1000435,3fb7277c7556,3/9/17,3/15/17,3/28/17
1000436,d1ea374432a9,3/13/17,3/15/17,3/19/17
1000437,f9f7950d32ff,2/16/17,3/15/17,3/18/17
1000438,7408e10de7d7,3/14/17,3/15/17,3/28/17
1000439,369e5e89159d,2/22/17,3/15/17,3/23/17
1000440,1d53dac50fc1,2/20/17,3/15/17,3/22/17
1000441,44d68e0690d9,3/23/17,3/23/17,3/28/17
1000442,377e24b4d503,2/28/17,3/15/17,3/28/17
1000443,86112d5c1b61,2/18/17,3/15/17,3/20/17
1000444,fd0b2a271db5,3/23/17,3/23/17,3/28/17
1000445,0ba59ee16f68,3/20/17,3/20/17,3/28/17
1000446,014470be9829,2/20/17,3/15/17,3/22/17
